epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.8599,1.7189,9.27661,1.55124,0.00747,0.10417,0.00758,0.00297,1.40909,7.33153,1.49218,0.00011669,0.00011669,0.00011669
2,7.46112,1.44101,6.52719,1.41944,0.36608,0.41152,0.29945,0.18245,1.27104,6.34617,1.24213,0.000247575,0.000247575,0.000247575
3,11.4407,1.26492,2.98726,1.23118,0.42185,0.5828,0.44025,0.23731,1.25481,6.27986,1.22163,0.000375818,0.000375818,0.000375818
4,15.2245,1.1913,1.96214,1.17798,0.47775,0.36859,0.40725,0.25952,1.26214,5.24972,1.29422,0.000501422,0.000501422,0.000501422
5,18.9803,1.16838,1.66102,1.20909,0.20159,0.461,0.17223,0.09953,1.37992,4.73712,1.52929,0.000624385,0.000624385,0.000624385
6,22.3738,1.17065,1.35415,1.17049,0.03978,0.03846,0.00796,0.00415,2.81686,11.3575,4.16053,0.000744707,0.000744707,0.000744707
7,26.0374,1.18178,1.40572,1.1444,0.6167,0.07692,0.04273,0.02447,2.50804,5.91125,3.34682,0.000862389,0.000862389,0.000862389
8,29.4274,1.17589,1.25776,1.15135,0.47527,0.33494,0.2929,0.19071,1.442,2.69949,1.60245,0.00097743,0.00097743,0.00097743
9,32.7249,1.0954,1.12081,1.10651,0.43281,0.41453,0.3719,0.26194,1.29379,3.16985,1.39084,0.00108983,0.00108983,0.00108983
10,37.1412,1.12556,1.15513,1.12377,0.41306,0.45246,0.35067,0.22837,1.25508,2.86719,1.36816,0.00119959,0.00119959,0.00119959
11,40.5902,1.2199,1.12883,1.16445,0.49907,0.6453,0.47308,0.23548,1.4583,5.59365,1.54315,0.00130671,0.00130671,0.00130671
12,44.1798,1.14241,1.11184,1.16239,0.1484,0.15331,0.05869,0.03212,2.20532,3.76967,2.1798,0.00141119,0.00141119,0.00141119
13,47.4687,1.16336,1.16223,1.16258,0.0001,0.15385,7e-05,2e-05,3.47814,5.01126,4.00304,0.00146896,0.00146896,0.00146896
14,50.7857,1.14365,1.08377,1.15393,0.25611,0.14957,0.12489,0.0506,2.15796,7.26466,1.83453,0.00145246,0.00145246,0.00145246
15,54.2108,1.18883,1.14926,1.18721,0.33037,0.46635,0.29889,0.17863,1.34344,2.24555,1.28345,0.00143595,0.00143595,0.00143595
16,57.6886,1.13303,1.07294,1.13725,0.47027,0.41453,0.36016,0.24839,1.25596,2.73878,1.27638,0.00141945,0.00141945,0.00141945
17,61.0973,1.1837,1.0761,1.16107,0.40429,0.62126,0.32866,0.21824,1.31924,3.1022,1.4209,0.00140295,0.00140295,0.00140295
18,64.5952,1.10475,1.00255,1.13593,0.34962,0.79641,0.44459,0.29428,1.26985,2.50306,1.30214,0.00138644,0.00138644,0.00138644
19,68.2269,1.07435,0.99291,1.09613,0.84262,0.34028,0.36358,0.23256,1.2749,3.20711,1.3375,0.00136994,0.00136994,0.00136994
20,71.6511,1.07734,0.96484,1.13366,0.30885,0.37028,0.34297,0.22861,1.23904,3.20438,1.23922,0.00135344,0.00135344,0.00135344
21,75.0094,1.04154,0.99743,1.10146,0.25317,0.66132,0.36781,0.2518,1.18795,2.35567,1.23396,0.00133693,0.00133693,0.00133693
22,78.9662,1.10439,0.96859,1.11839,0.37327,0.67254,0.41905,0.27191,1.22393,2.52068,1.29236,0.00132043,0.00132043,0.00132043
23,83.2138,1.1262,0.99017,1.1458,0.30155,0.27778,0.26551,0.16108,1.41047,3.67286,1.42991,0.00130393,0.00130393,0.00130393
24,86.5455,1.04876,0.99965,1.097,0.27475,0.7078,0.35622,0.22657,1.2987,2.16104,1.32055,0.00128742,0.00128742,0.00128742
25,89.8515,1.06969,0.88334,1.11345,0.33098,0.4487,0.35241,0.23147,1.28075,2.72717,1.32089,0.00127092,0.00127092,0.00127092
26,93.6355,0.99108,0.76592,1.03492,0.2705,0.37179,0.31274,0.2032,1.22142,3.13026,1.2571,0.00125442,0.00125442,0.00125442
27,97.7764,1.09315,0.89516,1.13096,0.24893,0.64401,0.34139,0.19947,1.28532,2.07697,1.17458,0.00123791,0.00123791,0.00123791
28,101.067,1.10483,0.95363,1.11018,0.75679,0.48905,0.51245,0.30865,1.43256,2.16841,1.31649,0.00122141,0.00122141,0.00122141
29,105.362,1.05291,0.94202,1.09192,0.64753,0.61699,0.63766,0.44664,1.12126,1.25588,1.15681,0.00120491,0.00120491,0.00120491
30,108.868,1.04976,0.85544,1.08172,0.53807,0.71849,0.61161,0.40346,1.10811,1.27654,1.11861,0.0011884,0.0011884,0.0011884
31,112.143,1.03704,0.87666,1.08265,0.33061,0.46801,0.34654,0.20251,1.24601,2.03889,1.26876,0.0011719,0.0011719,0.0011719
32,115.647,1.05891,0.94035,1.11446,0.42605,0.47792,0.38708,0.24552,1.2029,1.88703,1.17978,0.0011554,0.0011554,0.0011554
33,118.943,0.98383,0.84323,1.06139,0.53374,0.65491,0.51146,0.33095,1.18869,1.28872,1.20934,0.00113889,0.00113889,0.00113889
34,122.229,1.01573,0.8306,1.08144,0.87695,0.375,0.39576,0.25896,1.17748,2.24596,1.25207,0.00112239,0.00112239,0.00112239
35,125.499,1.01669,0.77131,1.11681,0.31978,0.53259,0.31796,0.21129,1.1372,2.16971,1.17675,0.00110589,0.00110589,0.00110589
36,128.808,0.9411,0.74741,1.03745,0.42266,0.42041,0.37689,0.23968,1.15785,2.11572,1.2112,0.00108938,0.00108938,0.00108938
37,132.412,0.9854,0.79858,1.05903,0.49868,0.48344,0.54038,0.3386,1.21499,1.75264,1.22139,0.00107288,0.00107288,0.00107288
38,135.906,0.95093,0.71245,1.06548,0.47966,0.67949,0.49989,0.33086,1.0995,1.2616,1.17104,0.00105638,0.00105638,0.00105638
39,139.181,0.93973,0.77841,1.05859,0.61701,0.54274,0.58077,0.37275,1.08163,1.47936,1.16956,0.00103987,0.00103987,0.00103987
40,142.609,0.93899,0.7573,1.04401,0.59258,0.5812,0.54058,0.36619,1.01663,1.49272,1.09373,0.00102337,0.00102337,0.00102337
41,145.878,0.9804,0.78981,1.07077,0.3712,0.72805,0.45278,0.31515,1.12306,1.78357,1.14359,0.00100687,0.00100687,0.00100687
42,150.35,0.94374,0.71353,1.01586,0.48328,0.47177,0.48705,0.31531,1.13188,1.49463,1.14071,0.000990365,0.000990365,0.000990365
43,154.076,0.91478,0.70552,1.02451,0.62069,0.62135,0.6583,0.45704,1.17937,1.19211,1.19307,0.000973861,0.000973861,0.000973861
44,158.269,1.01348,0.76019,1.08983,0.46104,0.56731,0.47801,0.32767,1.10571,1.69198,1.15257,0.000957358,0.000957358,0.000957358
45,161.624,0.96386,0.72991,1.05997,0.42238,0.50107,0.41553,0.27062,1.17546,2.20686,1.18861,0.000940855,0.000940855,0.000940855
46,164.948,0.94759,0.71125,1.04557,0.57421,0.78365,0.663,0.44727,1.11909,1.28809,1.15969,0.000924352,0.000924352,0.000924352
47,168.265,0.92523,0.67508,1.02634,0.55106,0.74626,0.59609,0.41158,1.07879,1.29449,1.13382,0.000907848,0.000907848,0.000907848
48,171.72,0.88137,0.6709,1.05238,0.57026,0.65654,0.56757,0.38344,1.14425,1.66059,1.2017,0.000891345,0.000891345,0.000891345
49,175.129,0.89865,0.64966,1.01739,0.52704,0.80312,0.6089,0.40582,1.11847,1.25261,1.17714,0.000874842,0.000874842,0.000874842
50,178.468,0.91849,0.6428,1.04794,0.6415,0.59557,0.63446,0.40714,1.12655,1.13234,1.17254,0.000858338,0.000858338,0.000858338
51,181.847,0.93003,0.6561,1.03175,0.62201,0.63782,0.66906,0.43604,1.10728,1.18495,1.14248,0.000841835,0.000841835,0.000841835
52,185.188,0.86107,0.60867,0.97965,0.70386,0.60577,0.60811,0.40281,1.0991,1.49821,1.17456,0.000825332,0.000825332,0.000825332
53,188.508,0.90631,0.63336,1.02162,0.51252,0.61699,0.49157,0.3082,1.15377,1.58378,1.19962,0.000808828,0.000808828,0.000808828
54,192.457,0.87118,0.6204,0.99275,0.58302,0.61645,0.51538,0.34634,1.0233,1.62385,1.10824,0.000792325,0.000792325,0.000792325
55,196.376,0.86372,0.5886,0.98904,0.73836,0.69284,0.70801,0.49003,1.06602,1.49849,1.10208,0.000775822,0.000775822,0.000775822
56,199.936,0.8183,0.56848,0.99713,0.61927,0.61761,0.62617,0.44293,1.06679,1.38563,1.10683,0.000759318,0.000759318,0.000759318
57,203.751,0.81519,0.57323,0.98626,0.84408,0.55021,0.70421,0.4403,1.22303,1.31004,1.19429,0.000742815,0.000742815,0.000742815
58,207.161,0.83527,0.57005,0.99013,0.59824,0.655,0.65936,0.44246,1.12803,1.3722,1.16416,0.000726312,0.000726312,0.000726312
59,210.504,0.85613,0.61931,1.01664,0.61619,0.6105,0.6606,0.43244,1.13793,1.47128,1.16293,0.000709809,0.000709809,0.000709809
60,213.868,0.86162,0.55771,1.0362,0.48497,0.62383,0.5395,0.37606,1.13707,1.86378,1.18237,0.000693305,0.000693305,0.000693305
61,217.45,0.84878,0.59224,0.99411,0.53584,0.58205,0.48195,0.30984,1.23108,1.83972,1.24734,0.000676802,0.000676802,0.000676802
62,220.772,0.85995,0.55025,1.01019,0.42773,0.68643,0.44045,0.26247,1.24417,1.96369,1.22667,0.000660299,0.000660299,0.000660299
63,224.324,0.80581,0.52469,0.98536,0.47288,0.79487,0.48664,0.31237,1.19262,1.4957,1.20251,0.000643795,0.000643795,0.000643795
64,227.643,0.8371,0.58637,1.00003,0.49973,0.72986,0.55626,0.38471,1.18562,1.46303,1.15016,0.000627292,0.000627292,0.000627292
65,230.923,0.79513,0.52296,0.97124,0.3895,0.75321,0.42959,0.2885,1.22437,1.82845,1.19985,0.000610789,0.000610789,0.000610789
66,234.208,0.76312,0.52247,0.9432,0.47528,0.7703,0.48632,0.31857,1.09936,1.40098,1.10786,0.000594286,0.000594286,0.000594286
67,237.51,0.76896,0.51321,0.97015,0.4531,0.75962,0.50732,0.33738,1.0965,1.57899,1.11921,0.000577782,0.000577782,0.000577782
68,241.554,0.80784,0.51092,0.99198,0.33094,0.95139,0.54136,0.37808,1.10352,2.05434,1.12749,0.000561279,0.000561279,0.000561279
69,245.32,0.78311,0.50825,0.96944,0.45161,0.76235,0.57909,0.41014,1.11153,1.75824,1.13778,0.000544776,0.000544776,0.000544776
70,248.71,0.73311,0.47263,0.93705,0.48675,0.74098,0.62768,0.45335,1.08968,1.57618,1.12578,0.000528272,0.000528272,0.000528272
71,252.693,0.74212,0.46522,0.9447,0.63794,0.64597,0.67674,0.49485,1.08418,1.38917,1.129,0.000511769,0.000511769,0.000511769
72,256.279,0.75981,0.50242,0.97886,0.57574,0.63408,0.62061,0.44109,1.10735,1.39607,1.15447,0.000495266,0.000495266,0.000495266
73,259.645,0.71837,0.49,0.94692,0.6256,0.63013,0.59137,0.41706,1.10667,1.49499,1.15921,0.000478762,0.000478762,0.000478762
